stop_id,stop_name,stop_lat,stop_lon
000004116,"Kretzschau, Abzweig Mannsdorf",51.046987,12.070353
000004118,"Goldschau, Abzweig Lindau",51.060146,11.892004
000004119,"Goldschau, Ort",51.062922,11.898256
000004120,"Haardorf (Waldau)",51.066907,11.916228
000004121,"Zeitz, Brühl",51.045291,12.128836
000004122,"Zeitz, Busbahnhof",51.055808,12.130287
000004123,"Nonnewitz",51.093830,12.116308
000004124,"Nonnewitz, Schule",51.094049,12.123933
000004125,"Unterschwöditz (Nonnewitz)",51.088020,12.137832
000004126,"Romsdorf, Abzweig (Weißenborn)",51.044279,11.968206
000004127,"Haynsburg, Bahnhof (Grana)",51.027247,12.064000
000004128,"Haynsburg, Schillerplatz (Grana)",51.023750,12.061231
000004129,"Droyßig, Wilhelm-Kritzinger-Str.",51.040839,12.030725
000004131,"Schleinitz, Gewerbegebiet (Unterkaka)",51.084801,11.947704
000004132,"Osterfeld, Abzweig Waldau",51.076913,11.928875
000004133,"Waldau (Osterfeld)",51.064050,11.933014
000004135,"Osterfeld, Schule",51.077663,11.938372
000004136,"Thierbach (Meineweh)",51.060581,11.987912
000004137,"Quesnitz (Meineweh)",51.064198,12.010248
000004138,"Weickelsdorf, Meineweher Str.",51.047935,11.961636
000004139,"Kleinhelmsdorf",51.035069,11.929899
000004140,"Roda (Weickelsdorf)",51.043715,11.949300
000004141,"Weickelsdorf, Bahnhofsstr.",51.046568,11.961278
000004142,"Golben (Bergisdorf)",51.021684,12.115854
000004143,"Bergisdorf (Gutenborn)",51.030269,12.118312
000004144,"Rasberg, Clara-Zetkin-Str. (Zeitz)",51.036716,12.139767
000004145,"Rasberg, Wartehalle (Zeitz)",51.041443,12.136521
